texto,sentimiento,tokens,texto_procesado,prediccion_svm,prediccion_nb
inútil desastroso muy incómodo diseño malo,negativo,"['inutil', 'desastr', 'incomod', 'diseñ', 'mal']",inutil desastr incomod diseñ mal,negativo,negativo
destacable descripción cumple sin más,neutro,"['destac', 'descripcion', 'cumpl']",destac descripcion cumpl,neutro,neutro
esperado calidad basura deficiente inferior,negativo,"['esper', 'calid', 'basur', 'deficient', 'inferior']",esper calid basur deficient inferior,negativo,negativo
recomiendo excelente producto calidad totalmente precio,positivo,"['recom', 'excelent', 'product', 'calid', 'total', 'preci']",recom excelent product calid total preci,positivo,positivo
descripción completamente sin cumple más destacable,neutro,"['descripcion', 'complet', 'cumpl', 'destac']",descripcion complet cumpl destac,neutro,neutro
sin más descripción destacable totalmente cumple,neutro,"['descripcion', 'destac', 'total', 'cumpl']",descripcion destac total cumpl,neutro,neutro
aceptable necesidades mínimas suficiente cubre,neutro,"['acept', 'neces', 'minim', 'suficient', 'cubr']",acept neces minim suficient cubr,neutro,neutro
malo muy bueno ni realmente promedio ni,neutro,"['mal', 'buen', 'realment', 'promedi']",mal buen realment promedi,neutro,neutro
adecuado propósito básico nada extraordinario,neutro,"['adecu', 'proposit', 'basic', 'extraordinari']",adecu proposit basic extraordinari,neutro,neutro
inútil malo completamente diseño incómodo desastroso,negativo,"['inutil', 'mal', 'complet', 'diseñ', 'incomod', 'desastr']",inutil mal complet diseñ incomod desastr,negativo,negativo
mercado opción sobresaliente mejor duda sin,positivo,"['merc', 'opcion', 'sobresalient', 'mejor', 'dud']",merc opcion sobresalient mejor dud,positivo,positivo
dinero recomiendo tiempo no pérdida,negativo,"['diner', 'recom', 'tiemp', 'perd']",diner recom tiemp perd,negativo,negativo
excelente producto totalmente calidad precio recomiendo,positivo,"['excelent', 'product', 'total', 'calid', 'preci', 'recom']",excelent product total calid preci recom,positivo,positivo
producto bastante premium magnífico excepcional calidad,positivo,"['product', 'bastant', 'premium', 'magnif', 'excepcional', 'calid']",product bastant premium magnif excepcional calid,positivo,positivo
calidad rompe construcción espantoso fácil endeble,negativo,"['calid', 'romp', 'construccion', 'espant', 'facil', 'endebl']",calid romp construccion espant facil endebl,negativo,negativo
aceptable esperaba aunque más completo algo,neutro,"['acept', 'esper', 'aunqu', 'complet']",acept esper aunqu complet,neutro,neutro
muy compra extraordinario supera realmente descripción feliz,positivo,"['compr', 'extraordinari', 'super', 'realment', 'descripcion', 'feliz']",compr extraordinari super realment descripcion feliz,positivo,positivo
horrible llegó servicio tarde dañado malo,negativo,"['horribl', 'lleg', 'servici', 'tard', 'dañ', 'mal']",horribl lleg servici tard dañ mal,negativo,negativo
descripción estafa nada total horrible,negativo,"['descripcion', 'estaf', 'total', 'horribl']",descripcion estaf total horribl,negativo,negativo
adecuado propósito básico nada extraordinario,neutro,"['adecu', 'proposit', 'basic', 'extraordinari']",adecu proposit basic extraordinari,neutro,neutro
descripción cumple destacable más totalmente sin,neutro,"['descripcion', 'cumpl', 'destac', 'total']",descripcion cumpl destac total,neutro,neutro
inferior esperado calidad deficiente sin duda basura,negativo,"['inferior', 'esper', 'calid', 'deficient', 'dud', 'basur']",inferior esper calid deficient dud basur,negativo,negativo
descripción estafa nada sin duda horrible total,negativo,"['descripcion', 'estaf', 'dud', 'horribl', 'total']",descripcion estaf dud horribl total,negativo,negativo
vale alta calidad pena inversión maravilloso,positivo,"['val', 'alta', 'calid', 'pen', 'inversion', 'maravill']",val alta calid pen inversion maravill,positivo,positivo
durabilidad calidad impresionante excelente construcción,positivo,"['durabil', 'calid', 'impresion', 'excelent', 'construccion']",durabil calid impresion excelent construccion,positivo,positivo
exactamente cinco estrellas perfecto esperaba,positivo,"['exact', 'cinc', 'estrell', 'perfect', 'esper']",exact cinc estrell perfect esper,positivo,positivo
malas está muy ok buenas cosas tiene,neutro,"['mal', 'buen', 'cos']",mal buen cos,neutro,neutro
engañosa decepcionante promete no cumple publicidad,negativo,"['engañ', 'decepcion', 'promet', 'cumpl', 'public']",engañ decepcion promet cumpl public,negativo,negativo
pérdida recomiendo no tiempo dinero,negativo,"['perd', 'recom', 'tiemp', 'diner']",perd recom tiemp diner,negativo,negativo
solución diario perfecto uso brillante problema,positivo,"['solucion', 'diari', 'perfect', 'uso', 'brillant', 'problem']",solucion diari perfect uso brillant problem,positivo,positivo
perfecto solución completamente diario uso problema brillante,positivo,"['perfect', 'solucion', 'complet', 'diari', 'uso', 'problem', 'brillant']",perfect solucion complet diari uso problem brillant,positivo,positivo
aceptable cubre necesidades suficiente mínimas,neutro,"['acept', 'cubr', 'neces', 'suficient', 'minim']",acept cubr neces suficient minim,neutro,neutro
nefasto peor compra bastante vida arrepentido,negativo,"['nefast', 'peor', 'compr', 'bastant', 'vid', 'arrepent']",nefast peor compr bastant vid arrepent,negativo,negativo
superó expectativas muy compra satisfecho,positivo,"['super', 'expect', 'compr', 'satisfech']",super expect compr satisfech,positivo,positivo
sobresaliente mercado mejor duda opción muy sin,positivo,"['sobresalient', 'merc', 'mejor', 'dud', 'opcion']",sobresalient merc mejor dud opcion,positivo,positivo
experiencia nunca terrible más aquí compraré,negativo,"['experient', 'nunc', 'terribl', 'aqu', 'compr']",experient nunc terribl aqu compr,negativo,negativo
gama media esperado desempeño mediano,neutro,"['gam', 'medi', 'esper', 'desempeñ', 'median']",gam medi esper desempeñ median,neutro,neutro
calidad construcción excelente durabilidad impresionante,positivo,"['calid', 'construccion', 'excelent', 'durabil', 'impresion']",calid construccion excelent durabil impresion,positivo,positivo
descripción estafa nada total horrible,negativo,"['descripcion', 'estaf', 'total', 'horribl']",descripcion estaf total horribl,negativo,negativo
esperado deficiente calidad inferior completamente basura,negativo,"['esper', 'deficient', 'calid', 'inferior', 'complet', 'basur']",esper deficient calid inferior complet basur,negativo,negativo
aceptable mínimas necesidades suficiente cubre,neutro,"['acept', 'minim', 'neces', 'suficient', 'cubr']",acept minim neces suficient cubr,neutro,neutro
suficiente cubre mínimas aceptable sin duda necesidades,neutro,"['suficient', 'cubr', 'minim', 'acept', 'dud', 'neces']",suficient cubr minim acept dud neces,neutro,neutro
precio razonable para correcto pagado,neutro,"['preci', 'razon', 'correct', 'pag']",preci razon correct pag,neutro,neutro
resistente duradero increíblemente bueno confiable,positivo,"['resistent', 'durader', 'increibl', 'buen', 'confiabl']",resistent durader increibl buen confiabl,positivo,positivo
pasable sirve emergencia temporal solución,neutro,"['pasabl', 'sirv', 'emergent', 'temporal', 'solucion']",pasabl sirv emergent temporal solucion,neutro,neutro
decepcionante publicidad cumple engañosa no ciertamente promete,negativo,"['decepcion', 'public', 'cumpl', 'engañ', 'ciert', 'promet']",decepcion public cumpl engañ ciert promet,negativo,negativo
bueno absolutamente confiable resistente duradero increíblemente,positivo,"['buen', 'absolut', 'confiabl', 'resistent', 'durader', 'increibl']",buen absolut confiabl resistent durader increibl,positivo,positivo
adecuado nada extraordinario básico propósito,neutro,"['adecu', 'extraordinari', 'basic', 'proposit']",adecu extraordinari basic proposit,neutro,neutro
horrible llegó servicio dañado malo tarde,negativo,"['horribl', 'lleg', 'servici', 'dañ', 'mal', 'tard']",horribl lleg servici dañ mal tard,negativo,negativo
para correcto pagado razonable precio,neutro,"['correct', 'pag', 'razon', 'preci']",correct pag razon preci,neutro,neutro
nada impresionante común ordinario corriente,neutro,"['impresion', 'comun', 'ordinari', 'corrient']",impresion comun ordinari corrient,neutro,neutro
básica esperada normal función cumple,neutro,"['basic', 'esper', 'normal', 'funcion', 'cumpl']",basic esper normal funcion cumpl,neutro,neutro
básico simple funcional lujos sin,neutro,"['basic', 'simpl', 'funcional', 'luj']",basic simpl funcional luj,neutro,neutro
decente funciona sin problemas particular,neutro,"['decent', 'funcion', 'problem', 'particul']",decent funcion problem particul,neutro,neutro
pérdida recomiendo dinero tiempo no,negativo,"['perd', 'recom', 'diner', 'tiemp']",perd recom diner tiemp,negativo,negativo
sirve pasable emergencia temporal solución,neutro,"['sirv', 'pasabl', 'emergent', 'temporal', 'solucion']",sirv pasabl emergent temporal solucion,neutro,neutro
uso solución diario problema perfecto brillante,positivo,"['uso', 'solucion', 'diari', 'problem', 'perfect', 'brillant']",uso solucion diari problem perfect brillant,positivo,positivo
cubre necesidades mínimas aceptable suficiente,neutro,"['cubr', 'neces', 'minim', 'acept', 'suficient']",cubr neces minim acept suficient,neutro,neutro
hecho funciona pésimo no mal producto,negativo,"['hech', 'funcion', 'pesim', 'mal', 'product']",hech funcion pesim mal product,negativo,negativo
uso perfecto brillante solución problema diario,positivo,"['uso', 'perfect', 'brillant', 'solucion', 'problem', 'diari']",uso perfect brillant solucion problem diari,positivo,positivo
frágil pobre baratos construcción muy materiales,negativo,"['fragil', 'pobr', 'barat', 'construccion', 'material']",fragil pobr barat construccion material,negativo,negativo
aceptable mínimas necesidades suficiente cubre,neutro,"['acept', 'minim', 'neces', 'suficient', 'cubr']",acept minim neces suficient cubr,neutro,neutro
cumple producto especial está bien nada,neutro,"['cumpl', 'product', 'especial', 'bien']",cumpl product especial bien,neutro,neutro
exactamente estrellas cinco esperaba perfecto,positivo,"['exact', 'estrell', 'cinc', 'esper', 'perfect']",exact estrell cinc esper perfect,positivo,positivo
satisfecho compra superó muy expectativas,positivo,"['satisfech', 'compr', 'super', 'expect']",satisfech compr super expect,positivo,positivo
completamente cubre necesidades mínimas suficiente aceptable,neutro,"['complet', 'cubr', 'neces', 'minim', 'suficient', 'acept']",complet cubr neces minim suficient acept,neutro,neutro
estafa horrible nada total descripción,negativo,"['estaf', 'horribl', 'total', 'descripcion']",estaf horribl total descripcion,negativo,negativo
sin problemas ciertamente particular decente funciona,neutro,"['problem', 'ciert', 'particul', 'decent', 'funcion']",problem ciert particul decent funcion,neutro,neutro
completamente confiable duradero bueno increíblemente resistente,positivo,"['complet', 'confiabl', 'durader', 'buen', 'increibl', 'resistent']",complet confiabl durader buen increibl resistent,positivo,positivo
muy insatisfecho compra no sirve propósito,negativo,"['insatisfech', 'compr', 'sirv', 'proposit']",insatisfech compr sirv proposit,negativo,negativo
desproporcionado calidad injusto inaceptable precio,negativo,"['desproporcion', 'calid', 'injust', 'inacept', 'preci']",desproporcion calid injust inacept preci,negativo,negativo
pasable emergencia sirve temporal solución,neutro,"['pasabl', 'emergent', 'sirv', 'temporal', 'solucion']",pasabl emergent sirv temporal solucion,neutro,neutro
tiempo recomiendo dinero pérdida no,negativo,"['tiemp', 'recom', 'diner', 'perd']",tiemp recom diner perd,negativo,negativo
fantástico mejor compra año definitivamente volveré,positivo,"['fantast', 'mejor', 'compr', 'año', 'definit', 'volv']",fantast mejor compr año definit volv,positivo,positivo
estándar mercado calidad promedio regular,neutro,"['estand', 'merc', 'calid', 'promedi', 'regul']",estand merc calid promedi regul,neutro,neutro
sin duda precio relación insuperable calidad estupendo,positivo,"['dud', 'preci', 'relacion', 'insuper', 'calid', 'estupend']",dud preci relacion insuper calid estupend,positivo,positivo
ciertamente buenísimo recomiendo perfecto llegó tiempo estado,positivo,"['ciert', 'buenisim', 'recom', 'perfect', 'lleg', 'tiemp']",ciert buenisim recom perfect lleg tiemp,positivo,positivo
recomiendo totalmente excelente producto calidad precio,positivo,"['recom', 'total', 'excelent', 'product', 'calid', 'preci']",recom total excelent product calid preci,positivo,positivo
realmente duradero confiable bueno resistente increíblemente,positivo,"['realment', 'durader', 'confiabl', 'buen', 'resistent', 'increibl']",realment durader confiabl buen resistent increibl,positivo,positivo
vendedor formidable promesas honesto cumple,positivo,"['vendedor', 'formid', 'promes', 'honest', 'cumpl']",vendedor formid promes honest cumpl,positivo,positivo
brillante perfecto solución sin duda problema diario uso,positivo,"['brillant', 'perfect', 'solucion', 'dud', 'problem', 'diari', 'uso']",brillant perfect solucion dud problem diari uso,positivo,positivo
increíblemente duradero confiable bueno resistente,positivo,"['increibl', 'durader', 'confiabl', 'buen', 'resistent']",increibl durader confiabl buen resistent,positivo,positivo
feliz supera descripción extraordinario compra muy,positivo,"['feliz', 'super', 'descripcion', 'extraordinari', 'compr']",feliz super descripcion extraordinari compr,positivo,positivo
compra fantástico mejor año definitivamente volveré,positivo,"['compr', 'fantast', 'mejor', 'año', 'definit', 'volv']",compr fantast mejor año definit volv,positivo,positivo
